Site,x,y,Wave Power (kwhr/m),1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,BAD_FLAG
ALA-00083,145.8216046,17.61747468,18547.36595,18399.90029,17904.9003,24211.80043,22640.90039,16792.30032,17411.40031,9136.800151,44264.90075,31129.90057,17710.10026,24014.30048,14649.30026,27940.90049,27643.40052,14527.70026,22107.60041,12066.50021,28295.40046,29205.10053,8963.200185,9249.200172,16531.00026,13664.8002,13735.60024,17384.90029,21957.40036,16937.6003,13580.70022,9203.300169,10201.20016,15728.40025,6325.300102,0
GUA-00126,144.777844,13.32785217,104280.3549,135408.2024,115679.402,101834.9018,112312.6019,93921.30162,89117.10151,115708.902,111548.4019,106197.2018,101334.6017,115734.4019,136204.3024,126428.702,116450.502,115427.102,97890.00168,84353.70147,110940.0019,118665.002,94734.70167,85523.5015,90142.30152,86212.30155,106332.2019,98069.10172,97760.1017,90227.10158,106475.4019,103486.6017,85162.3015,87018.10147,100671.3017,0
GUA-00600,144.6477461,13.23221046,51073.71963,76639.50133,64837.0011,68601.60123,52898.90092,57564.00102,47282.30079,44352.00078,59866.20104,63508.10111,57213.10099,41115.70071,51500.4009,73757.60113,71743.20125,62290.30109,50514.20092,33387.40061,60469.60103,58262.30103,47245.10084,32548.70058,40472.00071,39779.60069,55010.90097,34323.7006,56369.40096,49998.20089,34925.70061,53908.30089,27124.50048,35356.40058,31493.10051,0
GUA-00367,144.8117399,13.55924542,10370.67518,13011.60021,8649.100153,14710.10026,12588.60021,6608.600111,9225.100163,2452.700041,27143.50051,20363.70035,5482.200095,10508.2002,9196.500189,14813.40027,12269.20019,6167.200126,16898.40031,5892.300103,16108.90027,17632.10029,3568.900058,5068.200093,6358.100112,9326.400156,13813.70025,9946.600185,16294.10028,9941.70019,6619.700125,2931.400061,4677.500085,9708.300161,3885.600066,0
GUA-00165,144.6702548,13.46503995,13706.87211,13561.90023,11976.1002,16386.00029,17904.60029,10659.10018,14012.30024,6269.100106,29830.70056,22945.90039,7580.700126,15709.00028,13145.20026,17369.5003,16945.00028,7079.700141,19372.10034,9723.400159,20030.50035,22858.00037,6229.900098,7260.800131,10468.50018,12487.20021,14912.60024,16239.50028,18512.30032,12381.30024,9580.400167,6345.600108,8209.600134,13438.70023,9194.700165,0
AGU-00066,145.576241,14.86709422,118710.5989,157330.0028,134579.5023,131625.1022,140357.3024,94786.70168,92431.20163,119760.4021,145683.2024,131283.2022,110706.3019,131305.0022,149796.2026,146912.9025,132011.1021,125646.7022,125791.6021,84235.20138,127202.4021,149243.5027,95531.50173,91730.30161,97179.80162,105923.9019,135167.6024,101875.6017,128089.7022,102078.5018,116887.5021,108162.9018,84558.80144,103029.4017,97836.10165,0
GUA-00140,144.9331843,13.53079062,109025.5987,141578.2025,122708.2021,106136.9019,125615.4022,95297.20165,94163.10159,119426.9021,114472.702,110101.9019,102566.1017,120938.402,144215.4025,133757.3021,123348.6021,117279.0021,103255.1018,88382.50154,119245.0021,123301.6021,96700.5017,87455.30153,93681.30158,91124.30163,112715.9019,102216.3018,105383.6018,93010.70163,110443.2019,108100.8017,88156.90154,90689.30153,103351.5017,0
GUA-00245,144.8593297,13.46950902,96785.04229,133116.5024,112547.3019,96687.50171,106364.1018,87735.60151,81475.20137,105578.7018,102521.1018,101934.0018,96380.60163,100639.3016,123461.3021,125627.302,109657.1019,109692.9019,91775.20156,77831.30136,103266.7018,102556.1018,89888.20159,79448.6014,83704.80141,79335.9014,102704.0018,84734.20148,91830.60159,84117.60145,93391.10163,98579.40161,75633.30131,80359.00134,84546.80139,0
ALA-00091,145.8375706,17.57902237,94985.77037,129631.3021,108313.7018,102951.3018,117336.0021,68896.30115,66584.80118,100481.6018,143333.1023,105718.0018,88438.00154,104750.2019,112832.2019,128987.8022,94031.40163,97684.70169,99329.70172,62438.90105,93976.90156,116860.602,79829.10135,69675.00121,78544.7013,84823.80149,100798.1017,79502.30133,111491.7019,77869.90137,94641.90162,88041.30154,62750.40105,93895.60158,75104.30128,0
GUG-00069,145.8528129,17.30673306,130659.6023,153287.0026,144270.6025,122702.7021,155692.3028,103881.0018,113481.902,143887.1025,159146.8029,132934.0023,110597.902,159190.5028,165335.6028,153701.8027,134641.7023,127920.8022,134476.6023,101782.7017,130882.2022,163596.7026,112075.302,103624.7018,115408.0019,116624.102,133799.1023,131940.1023,138132.3024,107910.0018,136366.9023,125843.1023,104837.7018,122602.6021,120533.4022,0
ROT-00069,145.1596501,14.17066997,60505.76353,68159.1011,50929.10088,54732.50094,76270.60128,37677.90064,57081.60098,53761.20102,89575.30153,64406.60107,32759.2006,84823.0014,97773.80167,60506.80103,59664.30104,44279.6007,83414.60147,48788.10082,70979.90116,86744.80144,33520.60056,41573.90072,49635.50084,63987.60112,62688.00105,70198.50117,77622.50133,44143.40074,65080.50118,40468.50074,52429.10089,57950.60102,54557.70093,0
ROT-00082,145.1767691,14.17172969,49241.87897,54852.30087,36969.00064,45412.90081,64008.90109,32635.30056,48875.80084,45512.10085,70509.5012,50957.70084,27940.00051,74555.00122,79205.10132,47948.40081,51725.20092,31283.60051,64508.00115,41123.80069,58363.20094,72062.0012,25953.90043,30742.90054,41695.6007,49887.70089,49264.6008,59945.40099,60122.60104,33574.90057,52203.40093,34519.60064,43532.70075,48682.70084,47166.30081,0
GUA-00634,144.8234848,13.57186153,9626.656421,12745.40021,7402.900132,14189.90024,11477.80019,5975.200099,8724.000154,2057.900034,26055.10049,19748.80034,5037.500087,9288.500181,8081.600172,14061.60025,11040.90017,6019.100122,16394.3003,5426.800096,14639.60025,16801.40028,2576.800042,4599.500084,5998.70011,8681.300146,13006.70024,9111.700166,15484.60027,9236.700181,5660.800107,2426.700052,4187.300074,8543.10014,3370.800058,0
GUA-00160,144.6982212,13.47889222,13176.9471,13990.10023,10773.30018,16137.80028,16819.30028,9354.000163,13284.90022,5524.400099,29991.90055,22780.10039,6985.200119,14277.50026,13117.40026,17285.50031,16087.90026,6888.400137,19086.10033,9212.500153,18673.40032,22093.60035,5813.800092,6575.300122,10086.10017,13690.20023,15291.30026,15147.40027,18118.2003,11707.60023,9220.200163,6114.000108,6994.800121,13382.70023,7157.400127,0
GUA-00598,144.7171769,13.47809058,11103.67832,11667.80018,9925.800166,13081.90023,15252.20025,8507.400148,11603.60019,4296.000078,26303.2005,20424.90035,6559.400111,12095.90023,10115.1002,16071.80029,14282.70023,5916.900116,15970.90028,8397.100139,17380.4003,17850.20029,5041.700083,5969.700114,8579.200144,8918.000146,12731.5002,12645.30023,13517.40023,10432.8002,5321.400091,4855.900088,5858.9001,10603.70019,5139.000088,0
GUA-00510,144.7916766,13.41880839,85408.29834,113504.302,107479.3018,87607.50153,86897.80151,82347.20143,71565.00121,93367.20163,93881.50162,94227.90163,89626.90152,79072.30131,100510.6017,114443.3018,96838.50166,102383.8018,76736.4013,70127.90124,89921.60152,87960.80151,85957.90152,71846.20127,74807.50127,69179.60124,88635.70156,71060.00124,76535.20132,77569.30134,81175.70141,90162.00147,65815.00114,69620.90116,72200.7012,0
AGU-00114,145.5502817,14.8569564,117060.327,157092.5028,136890.6023,129966.0022,137840.3024,94906.30169,89743.10159,117572.6021,144867.9024,130866.9022,109159.5019,126861.7021,142649.4025,147165.9025,131571.3022,126471.5022,122213.902,83349.50137,125045.4021,148001.4026,94701.60172,89690.10159,95059.30157,101916.6018,134929.1024,100735.6017,125716.6022,102708.3018,112014.902,109547.4019,83822.20144,102371.3016,90481.70152,0
SAI-00187,145.7827019,15.20038485,111684.8176,141889.9025,123943.9021,112120.402,122336.2021,96575.90171,92232.80159,125328.9023,124477.9021,114274.602,106723.2018,127504.6023,145848.6026,126419.7022,121134.5021,119428.6021,106981.0018,84393.20145,115136.202,136530.8024,98514.70175,93246.30159,96286.90164,96144.2017,117596.902,108671.9019,106965.9019,94090.7016,115952.5021,105956.5018,89608.2016,96610.60158,110987.9019,0
SAI-00124,145.7114754,15.25223069,55483.06971,57194.40098,48730.40084,48060.2009,70168.50118,38480.40065,58202.90098,53314.40092,76024.80125,53412.60092,34554.40064,84158.20156,86670.50153,52226.90095,54791.40094,37908.50064,68494.40116,48721.20081,61759.10106,75307.50121,36124.0006,38533.70068,48932.60079,58057.70102,52391.4009,67220.80116,64457.80113,39004.30071,60315.70104,40852.90072,52984.90097,54486.90093,53914.80095,0
TIN-00065,145.5972048,15.05560893,19381.24721,20512.10038,23065.70037,24043.00042,25953.40043,9537.200168,20532.20037,8494.000165,41857.70066,25851.20043,7822.700138,21823.2004,19280.80033,24759.80043,24136.00041,18136.20028,28728.50048,15621.40027,20809.20039,30004.70052,9967.800182,4951.800068,15946.60025,22361.60042,18841.90035,18472.60034,34962.80065,18044.00031,19004.20033,10539.40017,11099.9002,21623.70037,3414.600052,0
AGU-00079,145.5690495,14.84715686,123714.7552,161071.7028,138682.4024,133940.6023,145950.9025,98066.20173,98165.20175,125154.8022,150319.6025,135739.5023,112959.002,139407.2023,157933.9027,148734.0026,140076.4023,128395.9022,131546.5022,87860.80145,134229.7022,157134.4028,100388.0018,95893.10167,100867.9017,110542.802,139354.0025,108506.0018,132759.7023,105244.7018,123701.7022,111627.7019,91045.00157,106538.0017,107034.8018,0
AGU-00064,145.5306025,14.83408235,119920.0489,159553.2028,138649.9023,132697.0023,140729.8024,97129.60173,93376.40165,120395.6021,148404.4024,132957.3022,109956.6019,132026.7022,148154.7026,150003.1026,134398.6022,128074.3022,125343.8021,85994.60142,127586.9021,151166.6027,96906.40176,90874.4016,98689.40163,104858.1019,136918.1025,105485.1017,129680.5022,105640.8018,115919.5021,111453.4019,86950.50149,103692.5017,93773.70156,0
SAI-00411,145.7469072,15.25505648,39977.60694,34885.10058,35705.60059,32384.10062,46811.80077,28551.50047,46878.10079,36663.40064,57573.70094,38472.20065,23833.60043,62938.00114,58004.7011,37099.10068,46799.00081,26965.50045,46467.30077,36384.70059,47002.80084,57194.80093,25762.10042,25313.20045,36430.10058,39284.40067,34317.80062,53597.50094,42912.50076,31371.00057,42351.20074,30175.60055,36116.20066,37171.00064,43865.80076,0
SAI-00142,145.7353183,15.25651803,48462.28521,48418.30077,40517.50067,39907.80076,60294.60098,34231.50058,52734.30089,45592.00078,66928.70109,46445.50081,29933.40055,75808.30139,74887.40138,43415.50079,51425.20089,31987.50055,59406.20101,43667.30073,56015.30099,66916.80108,31448.20052,33444.70059,42430.70068,49665.20087,43926.80076,61385.60107,52088.80091,34995.00064,53779.10095,34719.20062,47233.00087,47241.20081,49902.50088,0
SAI-00298,145.7594328,15.25353634,32014.56618,23217.40041,29669.10049,26333.80051,37669.40063,25005.90043,39097.30065,26654.00048,47458.60075,33106.90057,19020.70035,45106.40083,41113.40076,31521.60059,41123.00072,22286.10036,36349.10062,30730.40049,38588.70071,47673.20077,22797.70038,20238.50036,28208.20045,30561.30052,25698.30045,43154.70077,32853.80059,24877.30046,33853.60057,25525.20048,28751.40052,29802.50052,36418.60062,0
ROT-00201,145.1361301,14.14465087,28147.65673,25839.30042,28732.70049,33283.00056,35949.30062,17666.7003,29315.50051,16960.10033,53220.20091,36136.90063,13937.60025,30804.80052,33678.50054,32057.90055,32188.00058,21469.20033,41240.20072,20222.10036,35131.80059,48446.20081,12887.60021,13195.10022,20372.50033,34229.10059,28558.4005,32648.70054,43045.50072,23920.80039,25852.60047,16292.40028,17515.0003,27968.70048,17958.60033,0
ROT-00176,145.1960068,14.17565955,40450.34444,41507.30068,28495.20049,38378.50068,52845.30092,26630.60045,42127.60073,33999.20064,61265.00106,43305.10071,22509.30042,63011.10104,61829.80102,40298.50069,47234.20085,25519.4004,50414.40089,33338.80057,47348.00076,63425.90105,20791.40035,23147.0004,33905.90055,40413.50072,38883.10066,51632.60086,50433.80088,29065.00049,42601.00076,26749.0005,33565.90058,39207.00067,40532.6007,0
TIN-00078,145.613193,15.07505151,17910.32531,18945.70034,21294.40035,22938.10041,21872.00035,9128.70016,19019.90034,8152.000157,40552.30063,24082.1004,7541.800134,20586.10038,17252.10028,22961.80039,22814.80039,17281.10027,26699.00044,14483.10026,17710.70034,27415.50047,9320.900169,4370.200063,15080.00025,20230.30037,17511.00032,17340.80032,31748.00058,15723.00025,17017.90029,10160.90016,10944.20019,19813.50035,3138.500049,0
AGU-00086,145.536134,14.84943263,117097.5833,156604.9028,137249.1023,130070.9022,137647.0024,95419.5017,90396.40161,118130.9021,145230.7024,131117.9022,108791.9019,126081.7021,141228.3024,147770.7026,132046.4022,126995.8022,121500.002,83975.30138,124999.0021,147174.9026,95403.50174,89080.50158,95314.00158,100822.7018,134600.8024,100038.5017,127025.2022,104204.9018,111730.702,110141.1019,84813.50146,101868.1016,89647.8015,0
AGU-00105,145.5371264,14.84585054,117861.252,157996.4028,137562.0023,131004.9022,138457.0024,95813.40171,90854.00162,118682.4021,146232.8024,131607.1022,109168.8019,128292.1021,143125.9025,148268.5026,132738.4022,127067.1022,122669.002,84346.10139,125574.0021,148266.8026,95578.00174,89800.20159,95876.70158,102047.1018,135365.7024,101548.7017,127355.8022,104367.1018,113051.302,110500.2019,85260.80147,102394.5016,90687.20152,0
SAI-00417,145.7533355,15.25482883,37222.92252,30645.10051,33259.20056,30659.70059,43489.20072,27116.80046,44324.90074,32825.50058,54422.20088,36488.90063,22115.4004,57342.80105,51841.80097,34817.50064,44961.60078,25378.50042,43722.60072,34168.90056,43569.50078,52838.20085,24659.40041,23531.00042,33548.20053,36568.20063,31437.40056,50494.80089,39494.6007,29256.70053,39835.40069,28651.40053,32809.90059,34771.7006,42086.50073,0
SAI-00100,145.706365,15.24833067,51746.86652,52648.30086,45751.30077,45725.30086,64727.80107,35662.50059,54367.00092,48854.80085,71525.80118,49380.60085,32325.30059,78910.90145,79770.30144,46499.70084,52742.10091,35235.8006,63898.90109,45348.00076,58521.10102,73058.70116,33020.90055,34709.00062,45336.50074,55144.70097,48131.50083,63151.60109,58946.70103,36871.30067,57037.90099,37352.20066,48970.4009,51167.80087,51105.00089,0
AGU-00103,145.5381751,14.84304294,118846.252,159086.4028,138046.2023,131816.9022,139493.0024,96410.50171,91713.40163,119336.3021,147352.5024,132222.9022,109439.4019,130688.5022,146178.3025,149053.7026,133357.0022,127429.9022,123764.202,84955.1014,126508.7021,149558.4027,96076.00174,90349.7016,97662.60162,103458.2019,136010.4024,103741.8017,128304.9022,104870.6018,114349.202,111055.9019,85899.70148,102911.0016,91978.70153,0
GUA-00189,144.7757075,13.34326406,102704.1893,133684.4024,114857.902,99471.00177,110466.9019,92796.8016,87510.90148,114502.702,110473.1019,105387.7018,100562.8017,113268.1019,133561.1023,124829.602,114295.102,113579.202,96617.50166,83116.90145,108480.0019,116508.002,94025.50166,84762.90148,89013.40151,84078.8015,104318.8018,96728.3017,96190.20168,89399.70156,105014.8018,101685.9017,84056.80148,85217.10143,98072.10162,0
GUA-00361,144.892803,13.50471142,82063.07953,108299.0019,105072.2018,84745.4015,82499.50143,80283.0014,69258.30117,88834.40155,90652.90156,92096.2016,88223.0015,73511.60122,92839.00158,111711.3017,94806.00162,100550.5018,72391.10122,68055.3012,85360.80147,84323.10145,84393.40149,68730.00121,72291.90123,66088.20118,84155.40149,67772.50118,72862.40125,75603.80131,76928.90134,87502.20142,61849.70107,64574.00106,69753.50116,0
GUA-00468,144.8219563,13.44205476,22314.3035,38239.20067,24841.10043,32425.50059,16987.30031,34727.2006,25449.80042,20224.10033,17757.50031,23673.8004,26782.20045,15217.30024,27043.50045,36860.5005,36033.90063,32354.30056,15624.00026,16461.2003,28223.80045,29356.40056,19620.80035,13628.90025,15463.20027,12447.60021,28819.0005,18890.00034,20264.10032,19146.10033,14010.60025,19239.8003,10250.50018,12431.90021,11562.60018,0
GUA-00083,144.899066,13.5064225,87357.98587,118385.1021,110011.5019,90380.20158,94463.70165,82347.20143,73179.40124,93557.80163,94075.50162,97041.40168,89626.90152,81369.80134,104133.3018,118330.4018,101030.3017,102799.0018,79882.40136,70592.90125,95011.00165,89278.20152,86127.60153,72117.80127,75327.00128,70060.00125,92582.20161,72081.90126,80947.80138,78839.20136,83077.10145,90532.70148,65831.20114,70234.30116,72200.7012,0
AGU-00095,145.5428066,14.8367286,122100.7177,160723.0029,139267.0024,133751.8023,143950.0025,98138.60174,95302.00168,121984.0021,149186.6024,134154.1023,111442.1019,136603.4023,153409.8027,150286.5026,136873.7022,128847.1022,128756.3021,87445.10143,130074.5022,154602.9027,97682.10178,93123.80163,101230.7017,107735.4019,138614.3025,108304.7018,131432.6022,105661.1018,121116.9022,112585.5019,88302.20151,105755.3017,100879.8017,0
SAI-00400,145.7490979,15.25531992,39977.60694,34885.10058,35705.60059,32384.10062,46811.80077,28551.50047,46878.10079,36663.40064,57573.70094,38472.20065,23833.60043,62938.00114,58004.7011,37099.10068,46799.00081,26965.50045,46467.30077,36384.70059,47002.80084,57194.80093,25762.10042,25313.20045,36430.10058,39284.40067,34317.80062,53597.50094,42912.50076,31371.00057,42351.20074,30175.60055,36116.20066,37171.00064,43865.80076,0
GUA-00617,144.7767706,13.37275445,100177.5705,132729.8023,113238.0019,96869.10172,107578.1019,90215.60156,84821.20143,111913.3019,107268.0018,103494.5018,99403.20168,109884.8018,130309.0023,123535.7019,111917.8019,112304.702,94309.10162,81756.00143,104667.3018,110493.0019,92549.80164,82936.80146,87830.30149,81167.20144,101972.1018,91994.30162,93758.60163,86641.4015,101310.2018,100130.1016,82158.30145,83232.9014,93292.00153,0
GUG-00092,145.8345876,17.32012818,43731.44138,32820.20054,46083.00078,56079.60097,57383.20104,34726.30061,47572.10082,31600.10057,66847.40114,50622.60085,37323.90067,52527.60089,46666.00075,51071.40092,55173.801,35937.40063,50926.40087,36909.70062,56831.40097,65496.0011,25685.30044,29484.70052,35281.80058,47417.70074,33641.80058,46950.60083,53325.50091,37697.90065,39934.80067,34518.60068,31248.80049,43284.20074,28336.30051,0
GUG-00109,145.8317723,17.31486635,21747.16287,22311.80035,22018.80038,33370.80057,31164.90055,14062.60024,16776.20029,7628.800137,46374.20077,33957.00057,19103.1003,25624.30042,22174.00036,32605.40058,28928.80053,15602.80028,28285.30048,11123.9002,34256.2006,39860.40066,7861.200132,11033.70019,16795.50028,23144.10037,17862.2003,17961.50028,32433.10055,21260.40037,15430.40025,6828.100119,11029.90018,22216.40036,6823.400126,0
PAG-00215,145.8091287,18.12878067,132159.0741,154028.8025,144977.6026,122165.702,157231.6027,104721.6018,117852.9021,146193.2024,156050.8026,133387.3023,111970.702,165409.6029,169500.803,154270.6027,134752.3023,126526.0022,140246.5024,103259.0018,129069.9021,160929.7028,110893.8019,107217.7019,117836.202,120850.8021,134700.0022,133612.0023,141967.4024,106998.0019,137950.7024,127755.7022,106546.3019,127984.7022,122232.4021,0
PAG-00186,145.7966605,18.16703534,139577.8118,158163.2026,156291.9027,132679.5023,167250.7028,119870.302,128949.5022,150293.5025,163982.5028,146083.5025,117834.5021,168585.8029,167688.7029,162595.3029,149247.3026,135234.7024,150531.4026,110827.3019,144925.2024,164382.1029,118358.9021,112815.802,122586.3021,127682.8022,134297.6022,144390.4025,145930.5025,115994.602,140869.1025,129032.9023,116207.302,132137.7022,130769.1022,0
PAG-00097,145.7386626,18.0547035,98640.02982,132147.6022,109174.9019,98149.60161,121037.7021,69767.20118,70663.70121,112584.2019,123584.4021,107260.2019,80589.20139,124416.0022,130935.1022,126280.4023,93388.30159,98739.40172,103250.6017,63767.80108,94969.10153,124794.0022,82619.60142,74693.70133,82614.90138,92179.10163,106126.0018,87523.80145,116890.802,80902.80138,104768.7019,90085.50157,71814.20127,95792.5016,84969.90144,0
GUA-00368,144.9404961,13.56236575,105699.4956,134500.2024,118747.002,101698.8018,114593.802,94846.30164,90424.20153,118773.902,113138.3019,106204.3018,101980.4017,117046.0019,138158.0024,127588.402,117558.302,116485.702,98940.6017,86736.50151,111297.4019,120091.9021,95929.50169,86443.50151,91964.70156,88305.50158,106701.7019,100098.2017,99375.30173,91028.50159,107354.2019,106495.9017,87715.90153,89188.80151,102972.1017,0
GUA-00129,144.9624264,13.5999834,114734.1457,146278.1026,126765.1022,113143.002,129403.2022,101183.3017,99763.20168,121408.1021,128932.0022,124510.6021,106398.3018,126757.0021,147994.1026,143846.7023,132127.3023,121049.8021,112426.102,92320.80161,128542.6022,132622.3023,99047.50173,91696.80161,97582.90166,94601.70169,119136.4021,109396.6019,109726.2019,99499.60176,112321.402,109602.9018,92219.9016,94316.8016,106872.3018,0
GUA-00348,144.879471,13.4890816,72234.32311,98264.60175,96188.60162,79620.10139,76014.20131,73015.70129,61228.50102,77208.70135,73549.70125,79757.40136,80148.40136,62856.10105,73898.70122,101540.9015,89156.40154,92172.8016,58915.60099,56876.201,76782.60134,72741.20124,76122.50135,59403.40104,61950.60106,55857.801,76323.80132,57750.80099,65285.30109,68713.50118,65854.30115,78794.10128,50881.70088,55053.3009,59570.80098,0
GUA-00241,144.9516656,13.60211818,109808.0644,132550.4023,123650.9021,105294.1018,122147.2021,98124.50168,94838.50162,119681.2021,125182.0022,119490.602,105732.3018,122325.802,138437.3024,128438.1021,119948.202,118215.6021,108648.6019,91936.5016,119106.202,120041.202,98980.90173,90379.70158,94557.80161,93171.60167,111069.502,105814.7018,104327.8018,97888.90173,108668.3019,104001.4017,91969.3016,92497.70157,106741.2018,0
GUA-00607,144.848981,13.64638084,21922.95038,22504.00036,16871.10029,23443.50042,28674.20049,14036.50024,20343.70034,14700.40024,39966.60072,29214.0005,11769.30019,31766.10054,29386.50056,21248.30038,24864.00041,13792.40027,29754.20055,14469.10023,29504.70051,39814.20067,9828.100166,12499.30021,16341.40027,20076.50035,23090.10042,27968.20052,28896.10051,19345.70038,23937.40044,9068.400168,15145.7003,19039.20033,20175.50034,0
GUA-00333,144.6973016,13.24042104,49381.1071,73180.80128,67342.10112,63351.10113,51157.1009,57403.40101,44862.40074,46509.90082,47936.30082,54672.80094,57559.901,38133.20064,49968.60086,69583.70106,68569.7012,64837.70114,41684.00072,34922.20064,55933.70095,50706.90088,49111.80087,34934.80062,41279.40074,39276.20069,52862.70093,35488.50061,49074.20084,51125.40092,34495.9006,56868.00093,29727.80052,33941.80056,33693.40055,0
GUA-00454,144.6864547,13.24060628,40308.36632,62844.9011,53723.9009,53644.90097,40847.80073,48267.30085,36283.1006,37151.20064,37347.70064,44811.60076,46919.50081,29613.8005,43934.70076,57100.70085,57685.40103,55322.80096,35094.70061,26408.90048,48671.70082,44751.4008,39634.70069,25965.60047,31904.60057,30445.70053,45671.80082,28463.70051,42339.60072,42099.90075,27707.80049,43433.40072,22668.10039,24410.3004,24696.50041,0
PAG-00204,145.710798,18.0542026,22100.20663,20908.00038,22608.2004,33421.00056,31390.00049,15044.70023,19787.50032,9933.000185,47077.20077,36546.30066,23568.40035,23988.60037,19238.30033,31783.40056,28046.20049,15818.30027,25397.60045,10836.70017,37537.50066,37775.50067,9711.800177,11848.6002,15174.40026,24692.30048,19094.80032,19406.90036,29425.8005,21808.30036,16442.90029,7807.900143,10536.80018,21452.30034,9097.400163,0
PAG-00155,145.7517679,18.09795446,17450.01905,16827.1003,16623.90028,22006.00038,22600.20037,15241.80024,16634.30026,7490.600142,42259.60069,33375.20059,18835.60029,21410.80034,12577.60022,27845.30049,26481.60046,11701.1002,20536.30035,10491.00016,30572.10057,26974.20046,8484.600154,9353.500156,12277.40021,12852.90023,16068.30026,15064.20028,18210.40031,14577.50022,10848.50018,6271.700121,10037.00018,15568.00025,8302.300138,0
GUA-00153,144.9305082,13.60228272,101829.3174,124494.6022,114769.402,94157.10163,116679.202,86213.70148,84380.90144,113076.8019,115428.202,112026.2019,97168.10166,114787.9019,123425.8022,113365.5019,110528.8019,107314.0019,103159.4018,84468.80145,107001.7019,109732.4018,93434.40163,86302.70151,87866.60149,88338.80159,99410.3017,100439.3017,97588.40171,91988.70164,102814.5018,99764.00162,87695.80153,88376.50149,102339.6017,0
GUA-00269,144.9357235,13.54195003,107984.905,139040.4025,120377.302,105130.9019,120323.3021,95297.20165,93498.60158,119394.8021,114128.202,109616.2019,102566.1017,120180.1019,142750.6025,132032.1021,122916.5021,117065.202,101192.2017,87984.70153,115948.002,122287.5021,96504.10169,87182.60153,93417.70158,90038.50161,110907.4019,101596.7018,102930.4018,92252.00161,109449.0019,107869.2017,88140.70153,90147.20153,103351.5017,0
GUA-00117,144.7336927,13.48459192,11777.90958,13267.80022,10131.60017,14917.20026,15396.30025,8362.100146,11771.5002,4210.500076,27719.00051,21695.50037,6476.70011,12477.80023,11113.40023,16687.6003,14594.50023,6116.500121,17866.70031,8155.800134,17373.8003,19148.80031,5004.000084,5791.800111,8739.20015,11405.10018,13994.30024,12624.40023,16439.90028,10666.5002,7388.100131,4866.50009,5674.700098,11858.8002,4956.700088,0
GUA-00391,144.7967865,13.51285804,9048.028285,12146.9002,6344.900116,13199.80023,11094.80018,5894.400097,8476.80015,2038.500033,24182.90046,19634.80034,4792.800086,9046.000174,7425.800153,13689.40024,10842.60017,4474.300095,15578.90029,5317.300094,13931.90024,15322.10025,2417.900039,4425.300083,5570.000105,8079.600129,11792.00022,8606.800156,14068.00024,8750.100172,5013.20009,2343.50005,3885.600065,7858.500132,3291.500056,0
GUA-00228,144.7150304,13.24185837,81450.48265,109665.102,109082.4018,88968.00157,89547.10158,76066.40133,67564.00114,83782.60147,88092.9015,90225.90155,83977.10141,71189.80118,89250.70152,112629.8017,95536.50165,102192.7018,73161.90124,63533.10112,88154.50152,85651.50145,81665.70144,66046.70116,68284.90116,68487.40122,87524.30154,63840.2011,80264.20137,76782.50132,75625.50133,83603.50136,57872.901,62794.90102,65350.70109,0
GUA-00644,144.7021657,13.24182174,46431.68518,69893.70121,62846.10106,59821.40107,46901.80082,54659.80097,42323.4007,43582.30077,44419.50076,51778.60089,54943.40095,34816.60058,48240.20083,66090.20101,66399.40118,61273.10107,39558.10069,32206.50059,53660.60091,48659.10087,46983.30083,31626.10056,37982.50066,35927.20063,50090.70089,32824.10057,46652.5008,47982.90085,31870.00055,52796.70087,27042.90047,31027.50051,30933.70051,0
GUA-00467,144.8344109,13.59703825,8815.962657,11822.20019,6956.600127,13652.90024,10434.70017,5020.300086,7976.200141,1676.500028,25004.70048,19157.80033,3992.500069,8356.100166,7057.600152,13020.80023,9957.500155,5866.00012,15966.90031,4355.300073,13103.30021,15900.90027,1700.100027,3989.200072,5322.2001,8007.000126,11814.90022,7821.000142,14680.70025,8863.400177,4902.700093,2023.200042,3219.90006,7690.400127,2797.300048,0
GUA-00253,144.9008731,13.62393242,107339.5893,130177.4023,121135.4021,102113.8018,119199.502,96599.20165,91353.90156,117533.202,121042.3021,115232.602,104134.6018,118061.9019,133761.4023,123034.6021,117064.602,117599.4021,104779.0018,90578.70157,115335.002,115859.3019,98680.00174,89266.30155,92477.30157,91735.80165,109059.1019,103812.3018,101539.5018,97882.70173,107684.2019,101975.2017,89238.00156,92026.20155,104894.4017,0
GUA-00552,144.6646314,13.2394277,34105.61309,54287.80095,45635.60078,46412.70084,35955.00065,43120.70075,31899.10052,30031.20052,32131.20054,35090.4006,38300.10066,24048.3004,36939.10063,49609.10071,48655.60086,48775.70085,30392.80054,21422.10038,43195.30073,41131.90072,30256.20054,20700.30037,25492.50045,25965.10045,40510.8007,24946.60045,37586.30063,34889.50063,22823.10041,34534.40056,16931.9003,20482.60035,19226.60032,0
