"","SITE","OBS_YEAR","PeakDHW","PeakDate"
"98","AGU-00423",2019,1.73000001907349,"2019-10-06"
"99","AGU-00457",2013,3.16000008583069,"2013-09-26"
"100","AGU-00457",2014,3.86999988555908,"2014-08-22"
"101","AGU-00457",2015,0.779999971389771,"2015-07-31"
"102","AGU-00457",2016,3.89000010490417,"2016-08-29"
"103","AGU-00457",2017,8.39000034332275,"2017-09-30"
"104","AGU-00457",2018,0,"2018-01-01"
"105","AGU-00457",2019,1.73000001907349,"2019-10-06"
"106","AGU-00470",2013,3.13000011444092,"2013-09-26"
"107","AGU-00470",2014,4,"2014-08-22"
"108","AGU-00470",2015,0.759999990463257,"2015-07-31"
"109","AGU-00470",2016,4.07999992370605,"2016-08-29"
"110","AGU-00470",2017,8.84000015258789,"2017-10-01"
"111","AGU-00470",2018,0,"2018-01-01"
"112","AGU-00470",2019,1.69000005722046,"2019-10-06"
"113","AGU-00397",2013,3.13000011444092,"2013-09-26"
"114","AGU-00397",2014,4,"2014-08-22"
"115","AGU-00397",2015,0.759999990463257,"2015-07-31"
"116","AGU-00397",2016,4.07999992370605,"2016-08-29"
"117","AGU-00397",2017,8.84000015258789,"2017-10-01"
"118","AGU-00397",2018,0,"2018-01-01"
"119","AGU-00397",2019,1.69000005722046,"2019-10-06"
"120","AGU-00431",2013,2.82999992370605,"2013-09-26"
"121","AGU-00431",2014,3.65000009536743,"2014-08-22"
"122","AGU-00431",2015,0.740000009536743,"2015-07-31"
"123","AGU-00431",2016,3.98000001907349,"2016-08-29"
"124","AGU-00431",2017,8.34000015258789,"2017-09-29"
"125","AGU-00431",2018,0,"2018-01-01"
"126","AGU-00431",2019,1.73000001907349,"2019-10-06"
"127","AGU-00487",2013,2.82999992370605,"2013-09-26"
"128","AGU-00487",2014,3.65000009536743,"2014-08-22"
"129","AGU-00487",2015,0.740000009536743,"2015-07-31"
"130","AGU-00487",2016,3.98000001907349,"2016-08-29"
"131","AGU-00487",2017,8.34000015258789,"2017-09-29"
"132","AGU-00487",2018,0,"2018-01-01"
"133","AGU-00487",2019,1.73000001907349,"2019-10-06"
"134","AGU-00515",2013,2.76999998092651,"2013-09-26"
"135","AGU-00515",2014,3.76999998092651,"2014-08-22"
"136","AGU-00515",2015,0.430000007152557,"2015-07-30"
"137","AGU-00515",2016,4.01999998092651,"2016-08-29"
"138","AGU-00515",2017,8.51000022888184,"2017-09-29"
"139","AGU-00515",2018,0,"2018-01-01"
"140","AGU-00515",2019,1.26999998092651,"2019-08-02"
"141","AGU-00509",2013,3.13000011444092,"2013-09-26"
"142","AGU-00509",2014,4,"2014-08-22"
"143","AGU-00509",2015,0.759999990463257,"2015-07-31"
"144","AGU-00509",2016,4.07999992370605,"2016-08-29"
"145","AGU-00509",2017,8.84000015258789,"2017-10-01"
"146","AGU-00509",2018,0,"2018-01-01"
"147","AGU-00509",2019,1.69000005722046,"2019-10-06"
"148","AGU-00416",2013,2.82999992370605,"2013-09-26"
"149","AGU-00416",2014,3.65000009536743,"2014-08-22"
"150","AGU-00416",2015,0.740000009536743,"2015-07-31"
"151","AGU-00416",2016,3.98000001907349,"2016-08-29"
"152","AGU-00416",2017,8.34000015258789,"2017-09-29"
"153","AGU-00416",2018,0,"2018-01-01"
"154","AGU-00416",2019,1.73000001907349,"2019-10-06"
"155","AGU-00520",2013,3.13000011444092,"2013-09-26"
"156","AGU-00520",2014,4,"2014-08-22"
"157","AGU-00520",2015,0.759999990463257,"2015-07-31"
"158","AGU-00520",2016,4.07999992370605,"2016-08-29"
"159","AGU-00520",2017,8.84000015258789,"2017-10-01"
"160","AGU-00520",2018,0,"2018-01-01"
"161","AGU-00520",2019,1.69000005722046,"2019-10-06"
"162","ALA-00178",2013,8.31999969482422,"2013-09-16"
"163","ALA-00178",2014,9.60999965667725,"2014-08-28"
"164","ALA-00178",2015,0.28999999165535,"2015-07-30"
"165","ALA-00178",2016,4.55000019073486,"2016-08-11"
"166","ALA-00178",2017,9.98999977111816,"2017-08-28"
"167","ALA-00178",2018,0,"2018-01-01"
"168","ALA-00178",2019,3.54999995231628,"2019-08-03"
"169","ALA-00211",2013,8.31999969482422,"2013-09-16"
"170","ALA-00211",2014,9.60999965667725,"2014-08-28"
"171","ALA-00211",2015,0.28999999165535,"2015-07-30"
"172","ALA-00211",2016,4.55000019073486,"2016-08-11"
"173","ALA-00211",2017,9.98999977111816,"2017-08-28"
"174","ALA-00211",2018,0,"2018-01-01"
"175","ALA-00211",2019,3.54999995231628,"2019-08-03"
"176","ALA-00205",2013,8.56999969482422,"2013-09-16"
"177","ALA-00205",2014,9.64000034332275,"2014-08-28"
"178","ALA-00205",2015,0.140000000596046,"2015-07-29"
"179","ALA-00205",2016,4.59999990463257,"2016-08-11"
"180","ALA-00205",2017,9.85999965667725,"2017-08-28"
"181","ALA-00205",2018,0,"2018-01-01"
"182","ALA-00205",2019,3.55999994277954,"2019-08-03"
"183","ALA-00184",2013,8.56999969482422,"2013-09-16"
"184","ALA-00184",2014,9.64000034332275,"2014-08-28"
"185","ALA-00184",2015,0.140000000596046,"2015-07-29"
"186","ALA-00184",2016,4.59999990463257,"2016-08-11"
"187","ALA-00184",2017,9.85999965667725,"2017-08-28"
"188","ALA-00184",2018,0,"2018-01-01"
"189","ALA-00184",2019,3.55999994277954,"2019-08-03"
"190","ALA-00178",2013,8.31999969482422,"2013-09-16"
"191","ALA-00178",2014,9.60999965667725,"2014-08-28"
"192","ALA-00178",2015,0.28999999165535,"2015-07-30"
"193","ALA-00178",2016,4.55000019073486,"2016-08-11"
"194","ALA-00178",2017,9.98999977111816,"2017-08-28"
"195","ALA-00178",2018,0,"2018-01-01"
"196","ALA-00178",2019,3.54999995231628,"2019-08-03"
"197","ALA-00209",2013,8.56999969482422,"2013-09-16"
"198","ALA-00209",2014,9.64000034332275,"2014-08-28"
"199","ALA-00209",2015,0.140000000596046,"2015-07-29"
"200","ALA-00209",2016,4.59999990463257,"2016-08-11"
"201","ALA-00209",2017,9.85999965667725,"2017-08-28"
"202","ALA-00209",2018,0,"2018-01-01"
"203","ALA-00209",2019,3.55999994277954,"2019-08-03"
"204","ALA-00194",2013,8.31999969482422,"2013-09-16"
"205","ALA-00194",2014,9.60999965667725,"2014-08-28"
"206","ALA-00194",2015,0.28999999165535,"2015-07-30"
"207","ALA-00194",2016,4.55000019073486,"2016-08-11"
"208","ALA-00194",2017,9.98999977111816,"2017-08-28"
"209","ALA-00194",2018,0,"2018-01-01"
"210","ALA-00194",2019,3.54999995231628,"2019-08-03"
"211","ALA-00259",2013,8.31999969482422,"2013-09-16"
"212","ALA-00259",2014,9.60999965667725,"2014-08-28"
"213","ALA-00259",2015,0.28999999165535,"2015-07-30"
"214","ALA-00259",2016,4.55000019073486,"2016-08-11"
"215","ALA-00259",2017,9.98999977111816,"2017-08-28"
"216","ALA-00259",2018,0,"2018-01-01"
"217","ALA-00259",2019,3.54999995231628,"2019-08-03"
"218","ALA-00276",2013,8.31999969482422,"2013-09-16"
"219","ALA-00276",2014,9.60999965667725,"2014-08-28"
"220","ALA-00276",2015,0.28999999165535,"2015-07-30"
"221","ALA-00276",2016,4.55000019073486,"2016-08-11"
"222","ALA-00276",2017,9.98999977111816,"2017-08-28"
